model,max_tfidf_features,pls_da_n_components,qwk_mean,qwk_std
DecisionTree,15,20,0.6860913924253635,0.011867080305216242
DecisionTree,15,50,0.6724131248885087,0.004394224559941222
DecisionTree,15,80,0.6786859156507253,0.008725270780350436
DecisionTree,30,20,0.6836354127268973,0.005117632660919914
DecisionTree,30,50,0.6737363361472203,0.008496679030718888
DecisionTree,30,80,0.6744359044807724,0.007012141766227994
DecisionTree,50,20,0.6877889084073029,0.0071600212672423245
DecisionTree,50,50,0.679349079799129,0.005816258241879109
DecisionTree,50,80,0.6756247189089257,0.012249652411851612
RandomForest,15,20,0.7817382497001373,0.001821143351774782
RandomForest,15,50,0.7585924664819622,0.0039009291052761355
RandomForest,15,80,0.7522363955048771,0.0024384102625797615
RandomForest,30,20,0.783513808371601,0.0028517281618494813
RandomForest,30,50,0.7628460482939001,0.0023669161752292297
RandomForest,30,80,0.7495857501902284,0.0036284534111082423
RandomForest,50,20,0.7784206209704193,0.0026042234761070497
RandomForest,50,50,0.7647291523837353,0.0006201981663262777
RandomForest,50,80,0.7454567729792153,0.0038670750053264955
XGBoost,15,20,0.8110594849481659,0.003304913695516221
XGBoost,15,50,0.7957191591526217,0.003922684972475604
XGBoost,15,80,0.7943312155977308,0.003559824732165163
XGBoost,30,20,0.8099017678276491,0.0015777368194226206
XGBoost,30,50,0.7983527191384115,0.0010610957055288972
XGBoost,30,80,0.7958234427058861,0.004162879194326766
XGBoost,50,20,0.8083375558332255,0.002020825106439784
XGBoost,50,50,0.7969420101139734,0.004028465016615984
XGBoost,50,80,0.7935215797314769,0.003723238371605294
