model,max_tfidf_features,pls_da_n_components,qwk_mean,qwk_std
DecisionTree,15,20,0.5048794750309574,0.010010434055114864
DecisionTree,15,50,0.4606671888173011,0.006455434064074253
DecisionTree,15,80,0.455735155863158,0.03210147439398016
DecisionTree,30,20,0.4866587509509816,0.00689963800901811
DecisionTree,30,50,0.4650694098193379,0.024045398786204233
DecisionTree,30,80,0.46137373858617686,0.025625177188828306
DecisionTree,50,20,0.477265362985579,0.009758559165987843
DecisionTree,50,50,0.46858775134562825,0.01385109851326302
DecisionTree,50,80,0.4644373809209818,0.025441959098729126
RandomForest,15,20,0.630796242099545,0.0008924935918226206
RandomForest,15,50,0.584333720272556,0.0017628096251970093
RandomForest,15,80,0.5580168384967529,0.0012753767448545274
RandomForest,30,20,0.6269580760016117,0.003803628413976546
RandomForest,30,50,0.5730329241873416,0.00953740536750851
RandomForest,30,80,0.5602730716571918,0.00032801278215685987
RandomForest,50,20,0.62366287506783,0.006153406861241217
RandomForest,50,50,0.5795193847213734,0.008952268156302342
RandomForest,50,80,0.5621463750918013,0.0028878572416266447
XGBoost,15,20,0.6941155812762259,0.006572105219248293
XGBoost,15,50,0.6782584159666166,0.0051037445649070355
XGBoost,15,80,0.6716422592366964,0.00918124931917755
XGBoost,30,20,0.691052171851798,0.006977374582626619
XGBoost,30,50,0.6750893291822964,0.007067683218156061
XGBoost,30,80,0.6693302294085447,0.00513041229618302
XGBoost,50,20,0.6907968499777976,0.005438333757629126
XGBoost,50,50,0.6704718115574121,0.008585152733313277
XGBoost,50,80,0.6660232560713233,0.005184924142574327
